model_a,baseline,environment,auc_dynamofe,auc_baseline,point_diff,ci_95_low,ci_95_high,statistically_superior
Static Quad-Expert,TALL (Local Seed 42),webp50,96.28954081632652,92.47257653061224,3.8176020408163254,2.491039540816329,5.4030612244897895,True
Static Quad-Expert,TALL (Local Seed 42),h264_crf35,93.16836734693878,76.39923469387755,16.770408163265316,13.593112244897966,20.059980867346926,True
Static Quad-Expert,TALL (Local Seed 42),h265_crf32,94.59693877551022,84.8233418367347,9.772959183673464,7.150478316326525,12.543399234693867,True
Static Quad-Expert,TALL (Local Seed 42),resize075_then_h264_crf30,95.49617346938776,90.26977040816325,5.227040816326536,3.341836734693885,7.292155612244902,True
Static Quad-Expert,TALL (Local Seed 42),h264_crf30_then_resize075,96.84311224489795,91.32589285714286,5.517857142857139,3.5790816326530717,7.448979591836732,True
Static Quad-Expert,ForensicsAdapter,canonical,99.34821428571429,95.60204081632652,3.74617346938777,2.517857142857139,4.941326530612244,True
Static Quad-Expert,ForensicsAdapter,jpeg40,98.0829081632653,88.42091836734693,9.661989795918373,7.901785714285722,11.220695153061216,True
Static Quad-Expert,ForensicsAdapter,webp50,96.28954081632652,88.93112244897961,7.3584183673469425,5.529272959183653,9.099521683673474,True
Static Quad-Expert,ForensicsAdapter,h264_crf35,93.16836734693878,86.10076530612244,7.067602040816325,4.77423469387756,9.220695153061216,True
Static Quad-Expert,ForensicsAdapter,h265_crf32,94.59693877551022,85.92474489795919,8.672193877551024,6.3596301020408195,10.955389030612254,True
Static Quad-Expert,ForensicsAdapter,resize075_then_h264_crf30,95.49617346938776,86.73724489795919,8.75892857142857,6.910714285714292,10.448979591836732,True
Static Quad-Expert,ForensicsAdapter,h264_crf30_then_resize075,96.84311224489795,88.3061224489796,8.536989795918359,6.69250637755102,10.221938775510196,True
Static Quad-Expert,Xception,canonical,99.34821428571429,98.55102040816325,0.7971938775510239,0.2869579081632573,1.3431441326530678,True
Static Quad-Expert,Xception,jpeg40,98.0829081632653,93.37117346938774,4.7117346938775455,3.0025191326530605,6.418367346938766,True
Static Quad-Expert,Xception,webp50,96.28954081632652,91.32780612244899,4.9617346938775455,3.397959183673464,6.493686224489797,True
Static Quad-Expert,Xception,h264_crf35,93.16836734693878,87.88010204081633,5.2882653061224545,3.5063456632653045,7.09193239795919,True
Static Quad-Expert,Xception,h265_crf32,94.59693877551022,88.7716836734694,5.825255102040813,4.154336734693885,7.505133928571427,True
Static Quad-Expert,Xception,resize075_then_h264_crf30,95.49617346938776,90.33545918367346,5.160714285714278,3.6352040816326365,6.676020408163254,True
Static Quad-Expert,Xception,h264_crf30_then_resize075,96.84311224489795,93.11607142857143,3.727040816326536,2.3035395408163284,5.220790816326522,True
Static Quad-Expert,F3Net,canonical,99.34821428571429,98.60459183673468,0.7436224489796075,0.2576211734693864,1.278093112244891,True
Static Quad-Expert,F3Net,jpeg40,98.0829081632653,93.87372448979592,4.209183673469383,2.8877551020408134,5.553667091836749,True
Static Quad-Expert,F3Net,webp50,96.28954081632652,92.20663265306122,4.082908163265316,2.6683354591836634,5.4796237244898,True
Static Quad-Expert,F3Net,h264_crf35,93.16836734693878,87.34693877551021,5.821428571428569,3.876243622448979,7.757653061224488,True
Static Quad-Expert,F3Net,h265_crf32,94.59693877551022,90.5829081632653,4.014030612244909,2.4591836734693966,5.613520408163268,True
Static Quad-Expert,F3Net,resize075_then_h264_crf30,95.49617346938776,90.69897959183673,4.797193877551024,3.2129783163265246,6.312531887755101,True
Static Quad-Expert,F3Net,h264_crf30_then_resize075,96.84311224489795,92.7984693877551,4.044642857142847,2.5050701530612094,5.5970025510204,True
Static Quad-Expert,FCG (Official CVPR 2025),canonical,99.34821428571429,98.65561224489797,0.6926020408163254,0.21045918367346417,1.1709183673469288,True
Static Quad-Expert,FCG (Official CVPR 2025),jpeg40,98.0829081632653,96.96428571428571,1.1186224489795933,0.2627551020408273,1.9719387755101963,True
Static Quad-Expert,FCG (Official CVPR 2025),webp50,96.28954081632652,94.74489795918367,1.5446428571428612,0.27551020408164106,2.849521683673475,True
Static Quad-Expert,FCG (Official CVPR 2025),h264_crf35,93.16836734693878,90.25000000000001,2.91836734693878,1.2729272959183622,4.501275510204081,True
Static Quad-Expert,FCG (Official CVPR 2025),h265_crf32,94.59693877551022,91.55229591836735,3.044642857142861,1.7334183673469425,4.330389030612254,True
Static Quad-Expert,FCG (Official CVPR 2025),resize075_then_h264_crf30,95.49617346938776,91.74744897959182,3.7487244897959187,2.2652104591836704,5.3125318877551155,True
Static Quad-Expert,FCG (Official CVPR 2025),h264_crf30_then_resize075,96.84311224489795,93.55229591836735,3.290816326530603,1.9094068877550947,4.71938775510202,True
